Policy,Category,Indicator,Unit,rank,score
E1_Income support,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,16,0.01353384843406357
E1_Income support,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,17,0.01335842055566398
E1_Income support,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",18,0.013009317414474917
E1_Income support,Environment,CO2 emissions (kt),kt,19,0.01295777605337796
E1_Income support,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,20,0.012893404984155988
E1_Income support,Social issues ,Press freedom score,score,21,0.012889192117030523
E1_Income support,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,22,0.012808585038561894
E1_Income support,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,23,0.012638325855439022
E1_Income support,Health,Prevalence of Depressive disorders,percent,24,0.01262534076028327
E1_Income support,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,25,0.012398437845872853
E1_Income support,Governance,Corruption Perceptions Index,score,26,0.012199168968147956
E1_Income support,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,27,0.012079621602881868
E1_Income support,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",28,0.012047548048705094
E1_Income support,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,29,0.011922989889950518
E1_Income support,Economics,Volume of exports,percent change,30,0.011919192849359855
E1_Income support,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",31,0.011875750143958128
E1_Income support,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,32,0.011818642788273725
E1_Income support,Health,Prevalence of total cancers,percent,33,0.01174072951167678
E1_Income support,Demographics,Fixed broadband subscriptions,number,34,0.011721016088009049
E1_Income support,Environment,Electric power consumption ,kWh per capita,35,0.011558619700478046
E1_Income support,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,36,0.011551614891617289
E1_Income support,Environment,CO2 emissions (metric tons per capita),metric tons per capita,37,0.011458705023087552
E1_Income support,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,38,0.01115703102032431
E1_Income support,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",39,0.011118657061631744
E1_Income support,Social issues ,Net migration,net total / data are 5 year estimates,40,0.010961120606299573
E1_Income support,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",41,0.010941131054477242
E1_Income support,Demographics,People using safely managed drinking water services (% of population),proportion,42,0.010610022039620403
E1_Income support,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,43,0.010524057073832025
E1_Income support,Health,Prevalence of obesity,percent,44,0.010329488882828199
E1_Income support,Health,Prevalence of down syndrome,percent,45,0.010268571508002929
E1_Income support,Economics,Expenditure on education (% of GDP),percent,46,0.0102619902862668
E1_Income support,Demographics,"Population, total",total,47,0.010212247785859588
E1_Income support,Economics,"Central government debt, total",percent of GDP,48,0.010144897564695388
E1_Income support,Demographics,People using at least basic sanitation services (% of population),proportion,49,0.010109214274169156
E1_Income support,Health,Prevalence of Respiratory infections and tuberculosis,percent,50,0.01009243975850357
E1_Income support,Demographics,Refugee population by country or territory of asylum,proportion,51,0.009984721046912805
E1_Income support,Demographics,Secure Internet servers ,per 1 million people,52,0.009938830531976372
E1_Income support,Health,Prevalence of Diabetes,percent,53,0.00954221278744932
E1_Income support,Health,Prevalence of anxiety disorders,percent,54,0.009478033258430529
E1_Income support,Economics,Stock market capitalization (US$ million),percent,55,0.009400123923189129
E1_Income support,Social issues ,Coverage of social safety net programs (% of population),proportion,56,0.00934070920691718
E1_Income support,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,57,0.009332993937495392
E1_Income support,Health,"Physicians (per 1,000 people)",Ones,58,0.009185248730159183
E1_Income support,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",59,0.009088039058593449
E1_Income support,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,60,0.009078964977833953
E1_Income support,Demographics,"Net migration rate, per 1000 population",per thousand persons,61,0.008981631121301332
E1_Income support,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,62,0.008794574409321467
E1_Income support,Demographics,Mobile cellular (per 100 people),per 100 population,63,0.008653463757746045
E1_Income support,Demographics,Internet users (per 100 people),per 100 population,64,0.008624486081675946
E1_Income support,Demographics,Fixed telephone subscriptions,number,65,0.008561333457076936
E1_Income support,Demographics,Fixed telephone (per 100 people),per 100 population,66,0.008358532792949647
E1_Income support,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,67,0.008358169538741776
E1_Income support,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,68,0.008249808687759999
E1_Income support,Social issues ,Gini index (World Bank estimate),index ,69,0.00800764700991736
E1_Income support,Economics,Expenditure on health (% of GDP),percent,70,0.007966304132909987
E1_Income support,Health,"Nurses and midwives (per 1,000 people)",Ones,71,0.00793892590618317
E1_Income support,Demographics,Age dependency ratio (% of working-age population),proportion,72,0.007863640706354657
E1_Income support,Economics,Unemployment rate (%) - Annual,percent,73,0.007765170540469227
E1_Income support,Economics,Stock market capitalization (US$ million),US Dollar,74,0.00776149518812457
E1_Income support,Economics,Starting a Business (Score),Score,75,0.007742716111876782
E1_Income support,Economics,Volume of imports,percent change,76,0.00744609769260671
E1_Income support,Environment,Access to electricity ,percent of population,77,0.007440918032602967
E1_Income support,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,78,0.007334919197507085
E1_Income support,Environment,Combustible renewables and waste,percent of total energy,79,0.007330369379944412
E1_Income support,Environment,Electricity production from coal sources ,percent of total,80,0.007205698635218321
E1_Income support,Environment,Electricity production from nuclear sources ,percent of total,81,0.00720106299573623
E1_Income support,Environment,Electricity production from oil sources,percent of total,82,0.00708900815799005
E1_Income support,Environment,"Electricity production from oil, gas and coal sources",percent of total,83,0.007068493604897656
E1_Income support,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,84,0.006817040791907781
E1_Income support,Environment,"Energy imports, net ",percent of energy use,85,0.006767578321869904
E1_Income support,Economics,"Lending interest rates, percent per annum",percent per annum,86,0.00667111748886136
E1_Income support,Environment,Fossil fuel energy consumption,percent of total,87,0.00587154593656191
E1_Income support,Economics,"Trade, total as % of GDP",percent,88,0.005273109080828473
E1_Income support,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,89,0.005125270038029895
